39470,1908436,25-AUG-08 13:34:13,25-AUG-08 13:34:14,00:00:01
39470,1908599,25-AUG-08 14:24:22,25-AUG-08 14:24:22,00:00:00
39470,1908502,25-AUG-08 14:13:25,25-AUG-08 14:13:26,00:00:01
39470,1908539,25-AUG-08 14:17:31,25-AUG-08 14:17:31,00:00:00
39470,1908558,25-AUG-08 14:19:32,25-AUG-08 14:19:32,00:00:00
39470,1908570,25-AUG-08 14:21:33,25-AUG-08 14:21:33,00:00:00
39470,1908621,25-AUG-08 14:28:24,25-AUG-08 14:28:24,00:00:00
39470,1908517,25-AUG-08 14:15:31,25-AUG-08 14:15:31,00:00:00
39470,1908682,25-AUG-08 14:36:41,25-AUG-08 14:36:41,00:00:00
39470,1908704,25-AUG-08 14:38:33,25-AUG-08 14:38:33,00:00:00
39470,1908614,25-AUG-08 14:26:23,25-AUG-08 14:26:23,00:00:00
39470,1908942,25-AUG-08 15:36:40,25-AUG-08 15:36:41,00:00:01
39470,1908975,25-AUG-08 15:52:42,25-AUG-08 15:52:42,00:00:00
39470,1908632,25-AUG-08 14:30:17,25-AUG-08 14:30:18,00:00:01
39470,1908819,25-AUG-08 14:53:25,25-AUG-08 14:53:25,00:00:00
39470,1908899,25-AUG-08 15:31:35,25-AUG-08 15:31:35,00:00:00
39470,1908731,25-AUG-08 14:42:34,25-AUG-08 14:42:34,00:00:00
39470,1908654,25-AUG-08 14:32:30,25-AUG-08 14:32:30,00:00:00
39470,1908672,25-AUG-08 14:34:31,25-AUG-08 14:34:31,00:00:00
39470,1908582,25-AUG-08 14:23:12,25-AUG-08 14:23:12,00:00:00
39470,1908712,25-AUG-08 14:40:33,25-AUG-08 14:40:34,00:00:01
39470,1908843,25-AUG-08 15:15:31,25-AUG-08 15:15:31,00:00:00
39470,1908739,25-AUG-08 14:44:42,25-AUG-08 14:44:42,00:00:00
39470,1908801,25-AUG-08 14:52:13,25-AUG-08 14:52:14,00:00:01
39470,1908779,25-AUG-08 14:48:28,25-AUG-08 14:48:28,00:00:00
39470,1908789,25-AUG-08 14:50:32,25-AUG-08 14:50:32,00:00:00
39470,1908761,25-AUG-08 14:46:27,25-AUG-08 14:46:27,00:00:00
39470,1908833,25-AUG-08 14:54:30,25-AUG-08 14:54:30,00:00:00
39470,1908989,25-AUG-08 15:54:50,25-AUG-08 15:54:50,00:00:00
39470,1909005,25-AUG-08 15:55:36,25-AUG-08 15:55:37,00:00:01
39470,1908414,25-AUG-08 13:32:12,25-AUG-08 13:32:12,00:00:00
39470,1907722,19-AUG-08 12:00:34,19-AUG-08 12:12:00,00:11:26
39470,1908178,21-AUG-08 14:27:39,21-AUG-08 14:27:40,00:00:01
