
TIBCO Enterprise Message Service Administration Tool.
Copyright 2003-2006 by TIBCO Software Inc.
All rights reserved.

Version 4.3.0 V15 2/9/2006

Connected to: tcp://cib-devems01:7222
Command: show queues
  Queue Name                                                      SNFGXIBCT  Pre  Rcvrs     Msgs    Size   
* $TMP$.cib-devems01a.763845589C9639E65EA.8                       ---------    5      0        1     2.6 Kb
* $TMP$.cib-devems01a.763845589C9639E6608.9                       ---------    5      0        1     2.6 Kb
* $TMP$.cib-devems01a.763845589C9639E660A.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C9639E7EFB.137                     ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C9639E7F0D.8347                    ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C9639E7F0F.138                     ---------    5      0        1   136.8 Kb
* $TMP$.cib-devems01a.763845589C9639E7F12.8348                    ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C9639E7F3B.8351                    ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C9639E7F3F.8352                    ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C963A3C1BE.3                       ---------    5      0        1   208.3 Kb
* $TMP$.cib-devems01a.763845589C963A3CCCC.208                     ---------    5      0        1     5.0 MB
* $TMP$.cib-devems01a.763845589C963EBBFD4.7                       ---------    5      0        1    48.7 Kb
* $TMP$.cib-devems01a.763845589C963FDDC8A.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FDE856.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FDEA80.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FDF443.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FDFEE4.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE10C6.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE194B.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE29B6.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE2D21.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE3893.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE3B35.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE3FE5.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE43F6.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE458D.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE4C5C.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE4D47.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE4DDC.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE4FA5.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE5898.1                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE6198.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE68DB.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE6E94.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE7C02.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE7F2A.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE8141.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FE82F5.9                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FEB63B.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FECF08.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FEE02E.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF11E4.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF197C.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF1C9B.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF22BD.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF2EA6.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF30DF.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF319A.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF31C5.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF346E.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF3BFC.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF494C.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF4DF4.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF4FC8.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF5488.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF8F37.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FF9921.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFA714.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFAFAB.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFBEE4.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFC1D3.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFC315.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFC85B.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFCF01.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C963FFD07D.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C96400229C.8                       ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C96418D8A4.8                       ---------    5      0        1     4.8 Kb
* $TMP$.cib-devems01a.763845589C9641FDEF7.11                      ---------    5      0        1     3.3 Kb
* $TMP$.cib-devems01a.763845589C96426BDCB.8                       ---------    5      0        1     4.8 Kb
* $TMP$.cib-devems01a.763845589C96426D2A6.14                      ---------    5      0        1     4.0 Kb
* $TMP$.cib-devems01a.763845589C9642824B0.9                       ---------    5      0        1     5.1 Kb
* $TMP$.cib-devems01a.763845589C9644B0894.28                      ---------    5      0        1     3.7 Kb
* $TMP$.cib-devems01a.763845589C964508FA1.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C9645095B6.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C964509C13.8                       ---------    5      0        1     4.0 Kb
* $TMP$.cib-devems01a.763845589C964509C4A.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C964509D39.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C964509D41.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C964509D48.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C964509EBE.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C964509ED3.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A065.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A0A5.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A136.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A2B6.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A3DA.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A48E.1                       ---------    5      0        1    12.7 Kb
* $TMP$.cib-devems01a.763845589C96450A69B.8                       ---------    5      0        1     2.6 Kb
* $TMP$.cib-devems01a.763845589C96450A6D6.9                       ---------    5      0        1     2.6 Kb
* $TMP$.cib-devems01a.763845589C9645AC778.3                       ---------    5      0        1   202.5 Kb
* $TMP$.cib-devems01a.763845589C9647589A1.2                       ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C96483258A.107                     ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C9649D8B80.25                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C9649D8DB3.37                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C9649DC108.1                       ---------    5      0        1     4.9 Kb
* $TMP$.cib-devems01a.763845589C9649DC20E.2                       ---------    5      0        1     2.2 Kb
* $TMP$.cib-devems01a.763845589C9649DC336.1                       ---------    5      0        1     4.9 Kb
* $TMP$.cib-devems01a.763845589C9649DCAB7.1                       ---------    5      0        1     4.9 Kb
* $TMP$.cib-devems01a.763845589C9649DED9B.16                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C9649DED9C.17                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C9649DEF8C.35                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C9649E1773.25                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C9649E192E.37                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C964A2166C.17                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C964A2166D.18                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C964A216AF.32                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C964A6BE48.21                      ---------    5      0        1     0.2 Kb
* $TMP$.cib-devems01a.763845589C964CBB770.562755                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C964CCD997.4                       ---------    5      0        1   154.3 Kb
* $TMP$.cib-devems01a.763845589C964CCDA30.5                       ---------    5      0        1   154.3 Kb
* $TMP$.cib-devems01a.763845589C964CCDB3C.4                       ---------    5      0        1   154.3 Kb
* $TMP$.cib-devems01a.763845589C964E5397C.627778                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C964E75D0E.4                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E75D0F.6                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E7604D.7                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E7D0C1.20                      ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E832E3.341                     ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E83528.342                     ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E837F8.343                     ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E973EA.3                       ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C964E9B9D4.1                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964E9BA2B.3                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964EAFE27.3                       ---------    5      0        1   201.2 Kb
* $TMP$.cib-devems01a.763845589C964EAFE97.3                       ---------    5      0        1   201.2 Kb
* $TMP$.cib-devems01a.763845589C964EB001A.2                       ---------    5      0        1   278.2 Kb
* $TMP$.cib-devems01a.763845589C964EB0B60.3                       ---------    5      0        1   201.2 Kb
* $TMP$.cib-devems01a.763845589C964EE2B0B.3                       ---------    5      0        1   278.2 Kb
* $TMP$.cib-devems01a.763845589C964EE2C53.3                       ---------    5      0        1   278.2 Kb
* $TMP$.cib-devems01a.763845589C964EE59A9.40065                   ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C964F29A0C.4                       ---------    5      0        1   274.4 Kb
* $TMP$.cib-devems01a.763845589C964F3112E.6                       ---------    5      0        1   274.4 Kb
* $TMP$.cib-devems01a.763845589C964F50ECC.221                     ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C964F50F07.41726                   ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C964F50F4E.237                     ---------    5      0        1     0.3 Kb
* $TMP$.cib-devems01a.763845589C964F67037.4                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964F67038.5                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964F67039.6                       ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964FAB17D.17                      ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964FAB4AE.18                      ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964FAB789.19                      ---------    5      0        1    19.5 MB
* $TMP$.cib-devems01a.763845589C964FAF353.8                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FAF355.7                       ---------    5      0        1     0.5 Kb
* $TMP$.cib-devems01a.763845589C964FAF356.9                       ---------    5      0        1     0.5 Kb
* $TMP$.cib-devems01a.763845589C964FAFA99.3                       ---------    5      0        1   275.2 Kb
* $TMP$.cib-devems01a.763845589C964FB15C3.7                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB15C4.8                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB15D1.9                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB2E55.7                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB2E56.8                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB2E5A.9                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB4DE0.207                     ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB4DE1.208                     ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB4DE2.209                     ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB6B7C.410                     ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB7F26.8                       ---------    5      0        1    19.4 MB
* $TMP$.cib-devems01a.763845589C964FB7F27.9                       ---------    5      0        1    11.3 Kb
* $TMP$.cib-devems01a.763845589C964FB7F28.10                      ---------    5      0        1     6.6 Kb
* $TMP$.cib-devems01a.763845589C96508E60D.3                       ---------    5      0        1    19.6 MB
* $TMP$.cib-devems01a.763845589C965124F9F.724294                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965124FA1.724295                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965124FA3.724297                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965124FA9.724298                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965124FAA.724299                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965124FAC.724300                  ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D05.19                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D06.20                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D07.21                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D09.22                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D0B.23                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D0D.24                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D0F.25                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D11.26                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C965168D3A.29                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F0F8.19                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F0F9.20                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F0FA.21                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F0FD.22                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F0FE.23                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F101.24                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F104.25                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F107.26                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F109.27                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F11B.34                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F1DE.44                      ---------    5      1        0     0.0 Kb
* $TMP$.cib-devems01a.763845589C96516F5EC.1                       ---------    5      1        0     0.0 Kb
  _HAWK.>                                                         +--------    5*     0        0     0.0 Kb
  dev.cib.cdf.demo.offering.request                               ---------    5*     0        0     0.0 Kb
  dev.cib.cdf.demo.offerings.response                             ---------    5*     0        0     0.0 Kb
  dev.cib.cdf.service.authentication.request                      ---------    5*     0        0     0.0 Kb
  dev.cib.cdf.service.authorization.request                       ---------    5*     0        0     0.0 Kb
  dev.cib.cdf.service.userpreferences.request                     ---------    5*     0        0     0.0 Kb
  dev.cib.sales.marketmonitor.request                             +--------    5*     0        0     0.0 Kb
* dev.wachovia.CIB.iTD.tradesphere.>                              ---------    5*     0        0     0.0 Kb
  dev.wachovia.CIB.iTD.tradesphere.domain.request                 ++-------    5*     0        0     0.0 Kb
  dev.wachovia.CIB.iTD.tradesphere.PalmsMonitor.request           ++-------    5*     0        0     0.0 Kb
  dev.wachovia.CIB.iTD.tradesphere.top.request                    ++-------    5*     0        0     0.0 Kb
  dev.wachovia.CIB.iTD.tradesphere.top.triggerQueue               ++-------    5*     0        0     0.0 Kb
* dev1.wachovia.CIB.iTD.tradesphere.>                             ---------    5*     0        0     0.0 Kb
  dev1.wachovia.CIB.iTD.tradesphere.domain.request                +-----+--    5*     4        0     0.0 Kb
  dev1.wachovia.CIB.iTD.tradesphere.PalmsMonitor.request          +--------    5*     1        0     0.0 Kb
  dev1.wachovia.CIB.iTD.tradesphere.PnL.request                   +--------    5*     0        0     0.0 Kb
  dev1.wachovia.CIB.iTD.tradesphere.top.request                   +--------    5*     1        0     0.0 Kb
  dev1.wachovia.CIB.iTD.tradesphere.top.triggerQueue              +--------    5*     1        0     0.0 Kb
* dev2.wachovia.CIB.iTD.tradesphere.>                             ---------    5*     0        0     0.0 Kb
  dev2.wachovia.CIB.iTD.tradesphere.domain.request                +--------    5*     4        0     0.0 Kb
  dev2.wachovia.CIB.iTD.tradesphere.PalmsMonitor.request          +--------    5*     1        0     0.0 Kb
  dev2.wachovia.CIB.iTD.tradesphere.PnL.request                   +--------    5*     2        0     0.0 Kb
  dev2.wachovia.CIB.iTD.tradesphere.top.request                   +--------    5*     1        0     0.0 Kb
  dev2.wachovia.CIB.iTD.tradesphere.top.triggerQueue              +--------    5*     1        0     0.0 Kb
* dev3.wachovia.CIB.iTD.tradesphere.>                             ---------    5*     0        0     0.0 Kb
  dev3.wachovia.CIB.iTD.tradesphere.domain.request secure        ---------    5*     0        0     0.0 Kb
  dev3.wachovia.CIB.iTD.tradesphere.PalmsMonitor.request          +--------    5*     0        0     0.0 Kb
  dev3.wachovia.CIB.iTD.tradesphere.top.request secure           ---------    5*     0        0     0.0 Kb
  dev3.wachovia.CIB.iTD.tradesphere.top.triggerQueue              +--------    5*     0        0     0.0 Kb
  sample                                                          ---------    5*     0        0     0.0 Kb
  sample.queue                                                    ---------    5*     0        0     0.0 Kb
  scp.troy.ratings.requestQueue                                   ++-------    5*     0        1     0.2 Kb
* test.q.>                                                        ---------    5*     0        0     0.0 Kb
* test.q.dev                                                      ---------    5*     0       27     3.1 Kb
  test.queue                                                      +--------    5*     0        0     0.0 Kb
  wachovia.cib.1544.spagate.queue                                 ---------    5*     0        0     0.0 Kb
  wachovia.cib.1cnb.pfe.busy                                      ---------    5*     0        0     0.0 Kb
  wachovia.cib.1cnb.pfe.completed                                 ---------    5*     0       47    63.0 MB
  wachovia.cib.1cnb.pfe.heartbeat                                 ---------    5*     0        3     4.9 Kb
  wachovia.cib.1cnb.pfe.new                                       ---------    5*     0        0     0.0 Kb
  wachovia.cib.1cnb.pfe.terminate                                 ---------    5*     0        0     0.0 Kb
  wachovia.cib.1cre.crewgate.queue                                ---------    5*     0        0     0.0 Kb
  Wachovia.cib.1dmr.DebtMarketResearchQueue                       +--------    5*     0        0     0.0 Kb
